Part Number,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-12,2026-01,2026-02,2026-03
EEFHX1D560R WA1,,,,-63.0,-70.0,-70.0,-73.5,-77.0,-66.5,-73.5,-73.5,-73.5
EEFHX1E150KR,3415000.0,7360000.0,5231787.0,2192273.0,4595232.0,5015000.0,2768024.2,,,,,
EEFHX1E150KREA1,,,,-2590.0,-8543.5,-4077.5,-3150.0,-3384.5,-2509.5,-2656.5,-2481.5,-2460.5
EEFHX1E150R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEFHX1E150R EA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFHX1E330R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEFHX1E330R EA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFLR0D221R4,0.0,0.0,209653.0,0.0,0.0,200000.0,190891.36,,,,,
EEFLR0D221R4EA0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFLR0E181R4,0.0,0.0,0.0,0.0,0.0,13808.734,23031.121,,,,,
EEFLR0E181R4EA0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFLT0D221R4EA0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFLT0E271R EA0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFLX0D221R EA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFLX0D331R,0.0,17500.0,14000.0,14000.0,14000.0,10101.126,14347.703,,,,,
EEFLX0D331R EA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFLX0D331R4,56000.0,7000.0,0.0,0.0,3500.0,3500.0,3500.0,,,,,
EEFLX0D331R4EA1,,,,-7.0,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5,-3.5
EEFLX0D471R,87500.0,59500.0,15557.0,29341.0,66819.0,65847.27,65292.133,,,,,
EEFLX0D471R EB1,,,,-38.5,-49.0,-45.5,-42.0,0.0,-10.5,-24.5,0.0,0.0
EEFLX0D471R4,49000.0,14000.0,14750.0,21679.0,28965.0,49308.247,51964.993,,,,,
EEFLX0D471R4EB1,,,,0.0,-7.0,-21.0,-35.0,0.0,0.0,0.0,0.0,0.0
EEFLX0E471R4,35000.0,42000.0,70503.0,69942.0,78644.0,79705.249,113662.3966,,,,,
EEFLX0E471R4EA1,,,,0.0,0.0,-38.5,-63.0,-56.0,-49.0,-52.5,-45.5,-45.5
EEFSR0D221R4,7875000.0,14099000.0,10290544.0,11803775.0,11509977.0,10154268.868,11198155.153,,,,,
EEFSR0D221R4EA0,,,,-4200.0,-5752.0,-4805.5,-6926.5,-4746.0,-3661.0,-4130.0,-3727.5,-3857.0
EEFSR0D221R4EAY,,,,-5467.0,-7170.0,-3752.0,-6471.5,-6016.5,-4249.0,-4053.0,-3339.0,-3587.5
EEFSR0E181R4,308000.0,250000.0,247958.0,484188.0,247845.0,250000.0,500000.0,,,,,
EEFSR0E181R4EA0,,,,-332.5,-350.0,-220.5,-133.0,-133.0,-220.5,-283.5,-199.5,-308.0
EEFSR0E221Y4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEFSR0E221Y4EA0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSR0E221YR,241500.0,205000.0,422502.0,372513.0,206344.0,479894.609,362208.691,,,,,
EEFSR0E221YREA0,,,,-332.5,-500.5,-623.0,-693.0,-735.0,-616.0,-535.5,-507.5,-504.0
EEFST0D181R EA0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFST0D331R,954500.0,1730000.0,1916655.0,2530796.0,3365006.0,3741368.7184,3667911.593,,,,,
EEFST0D331R EA0,,,,-896.0,-2551.5,-1785.0,-1540.0,-1666.0,-2047.5,-1844.5,-1753.5,-2068.5
EEFST0D331R HA0,,,,0.0,0.0,-94.5,-850.5,-1120.0,-770.0,-703.5,-787.5,-934.5
EEFST0E331Y4EA0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFST0E331YR,606500.0,2610000.0,2565140.0,3305881.0,2922619.0,3510647.2360874005,3485815.994195,,,,,
EEFST0E331YREA0,,,,-864.5,-3115.0,-1417.5,-2891.0,-1879.5,-1575.0,-1547.0,-1375.5,-1638.0
EEFST0E331YREAX,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D181ER,0.0,0.0,0.0,0.0,0.0,1.9104321,0.0,,,,,
EEFSX0D181ER200,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D221ER,0.0,0.0,0.0,0.0,0.0,801698.27,968658.0456999999,,,,,
EEFSX0D221ERE10,,,,-49.0,-10.5,-101.5,-374.5,-392.0,-199.5,-210.0,-210.0,-192.5
EEFSX0D221EY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEFSX0D221EYE10,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D331E4,14000.0,14000.0,7000.0,0.0,14000.0,13175.82976,478.86584,,,,,
EEFSX0D331E4E00,,,,-38.5,-17.5,0.0,0.0,-14.0,-7.0,-14.0,0.0,0.0
EEFSX0D331ER,2505000.0,5045500.0,3778682.0,5623800.0,3828897.0,4824528.364,5167878.974,,,,,
EEFSX0D331ERE10,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D331ERE20,,,,-2180.5,-2817.5,-3388.0,-3633.0,-3622.5,-2978.5,-2705.5,-2572.5,-2646.0
EEFSX0D331EREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D331EY,2685000.0,6298500.0,6434461.0,5974444.0,6609432.0,7104355.275,7007682.549,,,,,
EEFSX0D331EY200,,,,-5390.0,-4763.5,-4665.5,-6135.5,-6114.5,-469.0,-553.0,-507.5,-479.5
EEFSX0D331EYE00,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D331EYEA1,,,,-700.0,-1470.0,-423.5,-1001.0,-59.5,-4858.0,-4438.0,-4158.0,-4560.5
EEFSX0D331KY,420000.0,1360000.0,1733620.0,2013809.0,1517887.0,2696174.4,2892129.5,,,,,
EEFSX0D331KYE10,,,,-493.5,-2761.5,-2660.0,-2366.0,-2173.5,-1974.0,-2324.0,-2173.5,-2453.5
EEFSX0D331KYEA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D331XE,1706500.0,5140500.0,4575797.0,2601216.0,5194478.0,4985861.7144,4062441.54993,,,,,
EEFSX0D331XEE00,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D331XEE10,,,,-3227.0,-6517.0,-5799.5,-7084.0,-5124.0,-3892.0,-4081.0,-3983.0,-3885.0
EEFSX0D331XEEA1,,,,0.0,-108.5,-77.0,-52.5,-143.5,-59.5,-73.5,-38.5,0.0
EEFSX0D331XREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D331YR,4450000.0,9810000.0,4429428.0,5830396.0,7921846.0,6803496.5,8207627.0,,,,,
EEFSX0D331YRE00,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D331YRE10,,,,-3325.0,-6555.5,-2894.5,-4063.5,-9009.0,0.0,0.0,0.0,0.0
EEFSX0D331YREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D331YREAY,,,,-4060.0,-1400.0,0.0,-1333.5,-707.0,-6153.0,-7213.5,-6534.5,-7143.5
EEFSX0D471E4,4618000.0,7058500.0,5017791.0,5012338.0,5760905.0,4845160.265,5444690.96,,,,,
EEFSX0D471E4E10,,,,-84.0,-395.5,-287.0,-388.5,-332.5,-238.0,-199.5,-112.0,-101.5
EEFSX0D471E4EB1,,,,-1750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D471E4EG1,,,,-3272.5,-6821.5,-7682.5,-6597.5,-6338.5,-4539.5,-4175.5,-4200.0,-4130.0
EEFSX0D471ER,955500.0,2646000.0,2434067.0,2755168.0,2447765.0,7448206.499,8460011.046,,,,,
EEFSX0D471ERC1W,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D471ERE10,,,,-353.5,-4385.5,-3783.5,-4788.0,-623.0,-493.5,-406.0,-430.5,-409.5
EEFSX0D471EREB1,,,,-4525.5,-2240.0,-787.5,-2282.0,-5334.0,-3965.5,-3580.5,-3454.5,-3353.0
EEFSX0D471ERH1W,,,,0.0,0.0,0.0,-3.5,-14.0,-10.5,-7.0,-10.5,0.0
EEFSX0D471EY,224000.0,245000.0,125917.0,238400.0,239338.0,117374.75,245000.0,,,,,
EEFSX0D471EYE10,,,,-87.5,-224.0,-350.0,-171.5,-140.0,-129.5,-112.0,-108.5,-101.5
EEFSX0D471EYEA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D471KR,0.0,0.0,0.0,0.0,0.0,1397.2285,0.0,,,,,
EEFSX0D471KRE10,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D471KREB1,,,,-28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D471XE,3813000.0,29040000.0,14993183.0,13181734.0,13870433.0,13712391.72568,13643389.25708,,,,,
EEFSX0D471XEE10,,,,-227.5,-434.0,-465.5,-329.0,-241.5,-168.0,-185.5,-182.0,-171.5
EEFSX0D471XEEB1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D471XEEG1,,,,-14780.5,-8095.5,-9915.5,-13153.0,-14686.0,-10790.5,-12148.5,-9618.0,-9835.0
EEFSX0D561E4,4007500.0,12763500.0,13286641.0,13020086.0,13261898.0,14162938.18678,12315144.812105,,,,,
EEFSX0D561E4EB1,,,,-1582.0,-959.0,-3.5,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D561E4EF1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0D561E4EG1,,,,-7791.0,-14724.5,-18945.5,-13611.5,-15736.0,-9327.5,-9772.0,-7605.5,-7252.0
EEFSX0E181ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEFSX0E181ERWA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E221ER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEFSX0E221ER200,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E221EYEA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E331E4,3500.0,0.0,117092.0,117330.0,0.0,100000.0,100000.0,,,,,
EEFSX0E331E4E00,,,,-112.0,0.0,-3.5,-7.0,-3.5,-3.5,-3.5,-3.5,0.0
EEFSX0E331ER,309500.0,994000.0,875321.0,733565.0,672286.0,1126247.85904,1499594.98164,,,,,
EEFSX0E331ERE00,,,,0.0,0.0,0.0,-136.5,-227.5,-206.5,-171.5,-21.0,0.0
EEFSX0E331EREA1,,,,-262.5,-171.5,-276.5,-287.0,-294.0,-203.0,-185.5,-140.0,-136.5
EEFSX0E331EY,4189000.0,5982000.0,4686158.0,3037266.0,4618410.0,4260162.717,4446962.292,,,,,
EEFSX0E331EY200,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E331EYEA1,,,,-1809.5,-2432.5,-5729.5,-5243.0,-8064.0,-3573.5,-3899.0,-3643.5,-3748.5
EEFSX0E331EYEAY,,,,-437.5,-304.5,-1848.0,-822.5,-721.0,-150.5,-210.0,-206.5,-196.0
EEFSX0E331R,0.0,30000.0,18648.0,0.0,38480.0,20000.0,0.0,,,,,
EEFSX0E331R E00,,,,0.0,0.0,-10.5,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E331URE00,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E331XE,140000.0,240500.0,242070.0,159044.0,227753.0,291965.653,556601.35027,,,,,
EEFSX0E331XEE00,,,,0.0,0.0,0.0,0.0,-3.5,-3.5,0.0,-3.5,-7.0
EEFSX0E331XEEA1,,,,-52.5,-105.0,-255.5,-199.5,-178.5,-129.5,-115.5,-101.5,-94.5
EEFSX0E331YREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E471E4,9915500.0,14567500.0,15548527.0,20467218.0,14529656.0,18022613.41574,18219746.57013,,,,,
EEFSX0E471E4EF1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E471E4EFX,,,,-52.5,0.0,0.0,-105.0,0.0,-105.0,0.0,0.0,0.0
EEFSX0E471E4EN1,,,,-9670.5,-12596.5,-10895.5,-10227.0,-16212.0,-10006.5,-10447.5,-7927.5,-7287.0
EEFSX0E471E4ER1,,,,-3913.0,-2726.5,-8949.5,-8018.5,-3125.5,-3738.0,-2495.5,0.0,0.0
EEFSX0E471E4WA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E471E4WF1,,,,-325.5,-388.5,-385.0,-427.0,-434.0,-395.5,-420.0,-420.0,-395.5
EEFSX0E471ER,2082500.0,3234000.0,4537701.0,3806540.0,3172671.0,3312085.7532249996,3843565.178,,,,,
EEFSX0E471EREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E471EREB1,,,,-3535.0,-4553.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E471EREF1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E471EREG1,,,,-84.0,0.0,-4875.5,-3377.5,-3937.5,-3066.0,-2579.5,-2352.0,-2289.0
EEFSX0E471ERHA1,,,,-119.0,-101.5,-178.5,-21.0,-119.0,-105.0,-38.5,-101.5,0.0
EEFSX0E471EY,213500.0,252000.0,181308.0,180888.0,251506.0,190420.0,163244.11,,,,,
EEFSX0E471EYEA1,,,,-371.0,-206.5,-168.0,-245.0,-171.5,-87.5,-129.5,-105.0,-129.5
EEFSX0E471XE,4386000.0,8922000.0,9073002.0,10577431.0,8698328.0,8723022.004800001,8240812.34764,,,,,
EEFSX0E471XEE00,,,,-24.5,-17.5,-17.5,-21.0,-38.5,-35.0,-35.0,-38.5,-31.5
EEFSX0E471XEEA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0E471XEEB1,,,,-4634.0,-6681.5,-8851.5,-9891.0,-8281.0,-7010.5,-7392.0,-4581.5,-2901.5
EEFSX0E471XEEF1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0F331XE,14000.0,21000.0,38684.0,38290.0,19123.0,35000.0,35000.0,,,,,
EEFSX0F331XEEA1,,,,0.0,0.0,-24.5,-28.0,-10.5,0.0,0.0,0.0,0.0
EEFSX0G221ER,86000.0,406500.0,369214.0,253637.0,451906.0,318134.04913,321660.986835,,,,,
EEFSX0G221ERE00,,,,-311.5,-255.5,-241.5,-269.5,-241.5,-238.0,-182.0,-143.5,-143.5
EEFSX0G271ER,0.0,0.0,0.0,0.0,0.0,601.27594,0.0,,,,,
EEFSX0G271EREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0G271ERWA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0G331ER,0.0,0.0,0.0,0.0,0.0,216.68875,1.1200000000000002e-21,,,,,
EEFSX0G331EREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0G331EY,0.0,0.0,0.0,0.0,0.0,100935.22,117613.625,,,,,
EEFSX0G331EYEA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0G331XE,423500.0,538500.0,390261.0,499549.0,429365.0,514570.595,553690.148,,,,,
EEFSX0G331XEEA1,,,,-315.0,-420.0,-346.5,-469.0,-556.5,-455.0,-479.5,-469.0,-469.0
EEFSX0J151ER,3500.0,0.0,2452.0,2473.0,2528.0,6785.508,8373.6455,,,,,
EEFSX0J151ER200,,,,-7.0,-7.0,-7.0,-7.0,-10.5,-3.5,0.0,0.0,0.0
EEFSX0J181E5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEFSX0J181ER,147000.0,77000.0,38500.0,84000.0,66500.0,52500.0,101500.0,,,,,
EEFSX0J181EREA1,,,,-77.0,-164.5,-140.0,-94.5,-98.0,-84.0,-77.0,-35.0,-38.5
EEFSX0J221ER,756000.0,619500.0,906906.0,661614.0,846028.0,796370.271,723573.206,,,,,
EEFSX0J221EREA1,,,,-1106.0,-969.5,-2506.0,-1746.5,-1529.5,-1291.5,-1172.5,-973.0,-994.0
EEFSX0K221QR,406000.0,350000.0,279739.0,228831.0,187958.0,201638.08,214993.03,,,,,
EEFSX0K221QRWA1,,,,-269.5,-301.0,-301.0,-318.5,-322.0,-297.5,-315.0,-311.5,-308.0
EEFSX0P561E4,322000.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEFSX0P561E4EB1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEFSX0P561XE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEFSX0P561XEEB1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJCX0G221R EA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJCX1A101YR,1102500.0,700000.0,988732.0,869099.0,996308.0,1206284.1,1073173.8,,,,,
EEJCX1A101YREA1,,,,-1228.5,-1368.5,-1627.5,-1190.0,-1085.0,-941.5,-920.5,-973.0,-1039.5
EEJRX0D221KY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEJRX0J101R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEJRX0J101R EA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJRX0J151R,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
EEJRX0J151R E00,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJRX0J151R EB1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJRX0J151YREB1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJSX0D221EY,14000.0,10500.0,82897.0,9897.0,10244.0,283786.648,330453.506,,,,,
EEJSX0D221EYE00,,,,-7.0,0.0,0.0,-3.5,-7.0,-3.5,-7.0,-7.0,-7.0
EEJSX0D331EREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJSX0D391EREA1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJSX0D471EREB1,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EEJSX0E331ER,1505000.0,1015000.0,396913.0,764557.0,1495171.0,1470000.0,1470000.0,,,,,
EEJSX0E331EREA1,,,,-112.0,-129.5,-154.0,-147.0,-115.5,-101.5,-108.5,-112.0,-101.5
EEJSX0E331ERHA1,,,,-385.0,0.0,-119.0,-1305.5,-1494.5,-941.5,-668.5,-577.5,-689.5
Total,,,,-185342.5,-211816.5,-208414.5,-204928.5,-201565.0,-155050.0,-154700.0,-133350.0,-132650.0
